"","airs_monitor_id","latitude","longitude","local_site_name","state_name","county_name"
"1","04-013-9997-44201",33.503833,-112.095767,"JLG SUPERSITE","Arizona","Maricopa"
"2","04-013-3002-44201",33.45797,-112.04659,"CENTRAL PHOENIX","Arizona","Maricopa"
"3","04-013-4010-44201",33.63718,-112.34185,"DYSART","Arizona","Maricopa"
"4","04-013-0019-44201",33.48378,-112.14256,"WEST PHOENIX","Arizona","Maricopa"
"5","04-013-1003-44201",33.41018,-111.86536,"MESA","Arizona","Maricopa"
"6","04-013-4003-44201",33.40314,-112.07526,"SOUTH PHOENIX","Arizona","Maricopa"
"7","04-013-2005-44201",33.70639,-111.85575,"PINNACLE PEAK","Arizona","Maricopa"
"8","04-013-1004-44201",33.56031,-112.06619,"NORTH PHOENIX","Arizona","Maricopa"
"9","04-013-2001-44201",33.57453,-112.19193,"GLENDALE","Arizona","Maricopa"
"10","06-025-0007-81102",32.97833,-115.53917,"Brawley-220 Main Street","California","Imperial"
"11","06-025-0005-81102",32.67618,-115.48307,"Calexico-Ethel Street","California","Imperial"
"12","06-025-0007-81102",32.97833,-115.53917,"Brawley-220 Main Street","California","Imperial"
"13","06-025-4003-81102",33.0325,-115.62361,"Westmorland","California","Imperial"
"14","06-025-4004-81102",33.213611,-115.54528,"Niland-English Road","California","Imperial"
"15","06-025-1003-81102",32.79222,-115.56306,"El Centro-9th Street","California","Imperial"
"16","06-025-4004-81102",33.213611,-115.54528,"Niland-English Road","California","Imperial"
"17","06-067-0006-81102",38.613779,-121.368014,"Sacramento-Del Paso Manor","California","Sacramento"
"18","06-067-0006-81102",38.613779,-121.368014,"Sacramento-Del Paso Manor","California","Sacramento"
"19","06-067-0284-81102",38.551388,-121.336666,"Sacramento-Branch Center #2","California","Sacramento"
"20","06-067-0002-81102",38.71209,-121.38109,"North Highlands-Blackfoot","California","Sacramento"
"21","06-067-0010-81102",38.56844,-121.49311,"Sacramento-1309 T Street","California","Sacramento"
"22","06-029-0016-88101",35.324636,-118.997627,"Bakersfield-Airport (Planz)","California","Kern"
"23","06-099-0005-88101",37.642165,-120.994212,"Modesto-14th Street","California","Stanislaus"
"24","06-077-1002-88101",37.950741,-121.268523,"Stockton-Hazelton","California","San Joaquin"
"25","06-077-1002-88101",37.950741,-121.268523,"Stockton-Hazelton","California","San Joaquin"
"26","06-007-0007-44201",39.708454,-121.617309,"Paradise - Airport","California","Butte"
"27","06-103-0004-44201",40.262072,-122.092766,"Tuscan Butte (seasonal)","California","Tehama"
"28","06-109-0005-44201",37.98178,-120.378551,"Sonora-Barretta Street","California","Tuolumne"
"29","06-031-0004-88101",36.102244,-119.56565,"Corcoran-Patterson","California","Kings"
"30","06-009-0001-44201",38.20185,-120.680277,"San Andreas-Gold Strike Road","California","Calaveras"
"31","06-101-0004-44201",39.205572,-121.820362,"Sutter Buttes (seasonal)","California","Sutter"
"32","06-027-1001-81102",36.049402,-117.943927,"Coso Junction","California","Inyo"
"33","06-057-0005-44201",39.233477,-121.055608,"Grass Valley-Litton Building","California","Nevada"
"34","06-077-2010-88101",37.793392,-121.247874,"Manteca","California","San Joaquin"
"35","06-019-2016-88101",36.710833,-119.7775,"Fresno-Foundry","California","Fresno"
"36","06-099-0006-88101",37.488317,-120.836008,"Turlock","California","Stanislaus"
"37","06-031-0004-88101",36.102244,-119.56565,"Corcoran-Patterson","California","Kings"
"38","06-031-1004-88101",36.31567,-119.643447,"Hanford-Irwin","California","Kings"
"39","06-079-8005-44201",35.64368,-120.23135,"Red Hills","California","San Luis Obispo"
"40","06-111-2002-44201",34.276316,-118.683685,"Simi Valley-Cochran Street","California","Ventura"
"41","08-059-0011-44201",39.743724,-105.177989,"NATIONAL RENEWABLE ENERGY LABS - NREL","Colorado","Jefferson"
"42","09-003-1003-44201",41.784722,-72.631667,"McAuliffe Park","Connecticut","Hartford"
"43","09-001-9003-44201",41.118333,-73.336667,"Sherwood Island Connector","Connecticut","Fairfield"
"44","09-005-0005-44201",41.821342,-73.297257,"Mohawk Mt-Cornwall","Connecticut","Litchfield"
"45","09-015-9991-44201",41.84046,-72.010368,"Abington","Connecticut","Windham"
"46","16-079-0017-88101",47.536389,-116.236667,"Pinehurst","Idaho","Shoshone"
"47","16-079-0017-81102",47.536389,-116.236667,"Pinehurst","Idaho","Shoshone"
"48","22-005-0004-44201",30.229653,-90.965628,"Dutchtown","Louisiana","Ascension"
"49","24-510-0054-44201",39.328807,-76.553075,"Furley","Maryland","Baltimore (City)"
"50","24-029-0002-44201",39.305021,-75.797317,"Millington","Maryland","Kent"
"51","24-033-8003-44201",38.81194,-76.74417,"PG Equestrian Center","Maryland","Prince George's"
"52","24-015-0003-44201",39.702982,-75.864771,"Fair Hill Natural Resource Management Area","Maryland","Cecil"
"53","24-025-1001-44201",39.410191,-76.296946,"Edgewood","Maryland","Harford"
"54","24-003-1003-44201",39.169533,-76.627933,"GLEN BURNIE","Maryland","Anne Arundel"
"55","25-013-0008-44201",42.19438,-72.555112,"WESTOVER AFB","Massachusetts","Hampden"
"56","25-015-4002-44201",42.298493,-72.334079,"QUABBIN RES","Massachusetts","Hampshire"
"57","26-163-0019-44201",42.43084,-83.000138,"East 7 Mile","Michigan","Wayne"
"58","30-063-0024-81102",46.842181,-114.021499,"MSLA Boyd Park","Montana","Missoula"
"59","30-029-0049-81102",48.363694,-114.189272,"Flathead Valley","Montana","Flathead"
"60","30-089-0007-81102",47.594395,-115.323746,"THOMPSON FALLS HIGH SCHOOL","Montana","Sanders"
"61","30-029-0047-81102",48.20054,-114.305334,"Kalispell Flathead Electric","Montana","Flathead"
"62","30-029-0009-81102",48.400407,-114.336962,"White Fish Dead End","Montana","Flathead"
"63","30-053-0018-81102",48.391545,-115.553309,"Libby Courthouse Annex","Montana","Lincoln"
"64","32-031-0016-44201",39.525083,-119.807717,"Reno3","Nevada","Washoe"
"65","34-017-0006-44201",40.67025,-74.126081,"Bayonne","New Jersey","Hudson"
"66","34-041-0007-44201",40.92458,-75.067815,"Columbia","New Jersey","Warren"
"67","34-027-3001-44201",40.787628,-74.676301,"Chester","New Jersey","Morris"
"68","34-001-0006-44201",39.464872,-74.448736,"Brigantine","New Jersey","Atlantic"
"69","34-011-0007-44201",39.422273,-75.025204,"Millville","New Jersey","Cumberland"
"70","34-029-0006-44201",40.06483,-74.44405,"Colliers Mills","New Jersey","Ocean"
"71","34-021-0005-44201",40.283092,-74.742613,"Rider University","New Jersey","Mercer"
"72","34-013-0003-44201",40.720989,-74.192892,"Newark Firehouse","New Jersey","Essex"
"73","34-015-0002-44201",39.800339,-75.212119,"Clarksboro","New Jersey","Gloucester"
"74","34-019-0001-44201",40.515262,-74.806671,"Flemington","New Jersey","Hunterdon"
"75","34-031-5001-44201",41.058617,-74.255544,"Ramapo","New Jersey","Passaic"
"76","34-025-0005-44201",40.277647,-74.0051,"Monmouth University","New Jersey","Monmouth"
"77","34-007-0002-44201",39.934559,-75.125219,"Camden Spruce Street","New Jersey","Camden"
"78","34-007-1001-44201",39.68425,-74.861491,"Ancora State Hospital","New Jersey","Camden"
"79","34-003-0006-44201",40.870436,-73.991994,"Leonia","New Jersey","Bergen"
"80","34-023-0011-44201",40.462182,-74.429439,"Rutgers University","New Jersey","Middlesex"
"81","35-001-0029-81102",35.01708,-106.65739,"SOUTH VALLEY","New Mexico","Bernalillo"
"82","35-013-0020-81102",32.041212,-106.40971,"6ZK Chaparral","New Mexico","Dona Ana"
"83","35-029-0003-81102",32.2558,-107.7227,"7E Deming Airport","New Mexico","Luna"
"84","35-013-0016-81102",32.003712,-106.599715,"6CM Anthony","New Mexico","Dona Ana"
"85","35-013-0021-81102",31.796218,-106.584434,"6ZM Desert View","New Mexico","Dona Ana"
"86","35-013-0020-81102",32.041212,-106.40971,"6ZK Chaparral","New Mexico","Dona Ana"
"87","35-013-0019-81102",32.424813,-106.674724,"6ZL Holman Road","New Mexico","Dona Ana"
"88","35-013-0024-81102",32.27815,-106.865006,"6WM West Mesa","New Mexico","Dona Ana"
"89","39-035-0065-88101",41.446624,-81.662356,"Harvard Yards","Ohio","Cuyahoga"
"90","39-035-0034-44201",41.55523,-81.575256,"District 6","Ohio","Cuyahoga"
"91","39-035-5002-44201",41.536942,-81.458871,"Mayfield","Ohio","Cuyahoga"
"92","39-017-0018-44201",39.529112,-84.394003,"Middletown Airport","Ohio","Butler"
"93","39-085-0003-44201",41.673006,-81.422455,"Eastlake","Ohio","Lake"
"94","39-055-0004-44201",41.515051,-81.249906,"Notre Dame","Ohio","Geauga"
"95","39-093-0018-44201",41.420882,-82.095729,"Sheffield","Ohio","Lorain"
"96","39-017-9991-44201",39.5327,-84.7286,"Oxford","Ohio","Butler"
"97","41-035-0004-88101",42.190296,-121.731369,"Klamath Falls - Peterson School","Oregon","Klamath"
"98","41-039-2013-88101",43.744352,-122.480487,"Oakridge - (OAK)","Oregon","Lane"
"99","41-039-2013-81102",43.744352,-122.480487,"Oakridge - (OAK)","Oregon","Lane"
"100","41-039-2013-88101",43.744352,-122.480487,"Oakridge - (OAK)","Oregon","Lane"
"101","42-095-0025-44201",40.628056,-75.341111,"LAT/LON POINT IS CENTER OF TRAILER","Pennsylvania","Northampton"
"102","42-011-0011-44201",40.38335,-75.9686,"Reading Airport","Pennsylvania","Berks"
"103","42-075-0100-44201",40.337328,-76.383447,"Lebanon","Pennsylvania","Lebanon"
"104","42-091-0013-44201",40.112222,-75.309167,"A420910013LAT/LON POINT IS OF CORNER OF TRAILER","Pennsylvania","Montgomery"
"105","44-007-1010-44201",41.841039,-71.36097,"FRANCIS SCHOOL East Providence","Rhode Island","Providence"
"106","44-003-0002-44201",41.615237,-71.72,"AJ","Rhode Island","Kent"
"107","44-009-0007-44201",41.49511,-71.423705,"US-EPA Laboratory","Rhode Island","Washington"
"108","48-141-0057-81102",31.6675,-106.288,"Socorro Hueco","Texas","El Paso"
"109","49-035-3010-88101",40.78422,-111.931,"ROSE PARK","Utah","Salt Lake"
"110","49-035-3010-88101",40.78422,-111.931,"ROSE PARK","Utah","Salt Lake"
"111","49-035-3010-88101",40.78422,-111.931,"ROSE PARK","Utah","Salt Lake"
"112","49-005-0007-88101",41.842649,-111.852199,NA,"Utah","Cache"
"113","49-005-0007-88101",41.842649,-111.852199,NA,"Utah","Cache"
"114","53-005-0002-81102",46.21835,-119.204153,"KENNEWICK - METALINE","Washington","Benton"
